seed,n_real,n_spurious,det_8,m_8,i_8,det_12,m_12,i_12,det_20,m_20,i_20,det_30,m_30,i_30
19,4,0,1,0.08623905589278434,39.24771123685531,1,0.06174189642791624,51.2509211680257,1,0.1046710513152363,53.419195752685205,1,0.04605862603208272,46.61728196068602
20,4,0,1,0.07956549440185406,51.99824620824958,1,0.058621603888362864,25.901007651206026,1,0.09870153429061157,50.052246907863285,1,0.04882162932115155,49.019126286438734
21,4,0,1,0.08452199462925754,50.162364356704956,1,0.071160319897645,49.351683638844804,1,0.09673615989437918,46.281038722823006,1,0.04887796365164264,43.72308156230207
22,4,0,1,0.07488350671517659,48.94623007219214,1,0.06560887395015429,53.56252192013061,1,0.0996102085383423,51.495999169817345,1,0.05054888156229675,54.224888481942195
23,4,0,1,0.0823399858072028,44.70697387999824,1,0.07605448972355781,66.65943748690746,1,0.10422592986338824,53.64734203403948,1,0.05193008121923677,52.34299601069856
24,4,0,1,0.08511217731514288,43.52779490492237,1,0.06642584521061524,41.55449902475348,1,0.09889557420864334,45.85658323147642,1,0.0480466485719535,40.31742634708483
25,4,0,1,0.08506787527611395,57.54695819317562,1,0.05815562306631819,43.290559080835315,1,0.10301677993736685,52.097560573882085,1,0.048555827918774525,50.93890166214353
26,4,0,1,0.06469627405742204,31.65070976331004,1,0.06660081110951527,53.01915022067072,1,0.10598598254643271,54.66712273950168,1,0.04922022089601295,49.006951685785616
27,4,0,1,0.08760296956671229,60.90854089616315,1,0.058391814651300264,42.628678498657536,1,0.0971847245821743,48.59687215026718,1,0.04965124730695925,47.6020950958895
28,4,0,1,0.08374911184615703,43.726428035442304,1,0.06479237690447671,48.07747098246291,1,0.10402935053618859,52.53573377618536,1,0.04956471979719562,46.35618065474861
29,4,0,1,0.08800757934575941,55.77009084001944,1,0.06231851184837191,44.732150477662415,1,0.10036137228274378,49.928986987033326,1,0.04749246903126088,52.74829337235592
